dqdx,trklen,y
47259.2,112.758,1
47106.7,432.417,1
47512.1,126.547,1
49285.1,77.2856,1
53907,111.001,1
50120.3,159.851,1
54909.7,67.4089,1
48689.2,200.935,1
50084.7,247.649,1
51334.6,187.174,1
56748.7,88.1097,1
49706.3,202.703,1
53182.5,158.521,1
49681.7,441.241,1
48791.8,369.19,1
53339.1,96.1558,1
33203.8,93.2804,1
47411.1,379.536,1
53136.6,63.7177,1
50413.7,512.012,1
50065.5,173.609,1
53554.5,87.4009,1
45276.7,105.772,1
56430.7,66.6806,1
50312.7,167.55,1
52651.3,153.62,1
52698.3,83.4736,1
36125,43.654,1
34515.9,51.6559,1
49406.5,357.838,1
47745.7,205.591,1
50066.4,361,1
52602,122.76,1
49113.5,123.829,1
29606.3,55.894,1
50990.2,132.1,1
54419.7,100.986,1
50233.2,79.9894,1
55223.1,137.573,1
45556.5,76.4214,1
51942.8,245.811,1
47959.8,207.139,1
50373.6,587.89,1
61602,66.5567,1
52182.6,146.42,1
43798.6,84.9026,1
49021.5,72.9344,1
49687,147.339,1
47833.2,115.177,1
51582.2,183.702,1
48459.2,238.553,1
53304.4,93.369,1
48840.6,373.586,1
48285.1,266.916,1
5235.72,83.1844,1
50053.7,304.202,1
52033.7,109.695,1
48127.4,311.854,1
48993.3,249.456,1
48369,286.864,1
11107.4,109.816,1
52678,134.787,1
56305.3,45.6292,1
50024.3,120.525,1
48663.3,169.61,1
49063.6,138.953,1
51100.9,103.456,1
54527.9,92.4891,1
38644.6,51.1147,1
79365.9,21.7275,0
53339.6,148.848,1
50239.1,276.608,1
48577.3,121.941,1
58907.1,48.423,1
49945,179.674,1
8108.56,55.3979,1
64961.4,41.7244,1
55691.8,136.112,1
51528.8,137.868,1
41551.3,74.2567,1
15545.4,57.1711,1
51572.9,197.773,1
53462.6,149.318,1
54940.2,110.09,1
47334.1,92.5087,1
50785.7,50.2033,1
49057.6,189.506,1
50864.4,103.339,1
45307.8,61.6965,1
47377.6,138.932,1
61819.2,42.5371,1
49261.6,80.6538,1
55867.8,107.598,1
43801.5,73.5104,1
51305.5,62.0949,1
4513.4,118.22,1
45490.4,60.5821,1
50487.4,180.633,1
50570.8,128.178,1
49454.2,161.174,1
49574.7,106.493,1
51305.9,178.41,1
47221.8,70.5289,1
49559.5,90.5803,1
52419,46.9565,1
48888.4,165.252,1
35162.8,85.6752,1
20889.9,84.7773,1
53922.6,79.8789,1
48028.6,85.8454,1
51854.4,218.584,1
4763.76,53.7266,1
50526.4,151.803,1
53902,91.9531,1
51477.4,197.738,1
51910.5,355.261,1
55480.6,71.8756,1
45024.1,121.984,1
53358.5,43.675,1
55513.1,82.3969,1
58226.3,62.4727,1
47657.3,314.75,1
47096,23.8333,1
63062.5,43.3276,1
48069.6,174.542,1
51028.3,149.541,1
49415.3,134.946,1
49300.3,146.056,1
57345,104.659,1
51130.7,39.6993,1
19432,73.4127,1
56283.2,40.3289,1
48907.1,355.506,1
50153.4,133.323,1
50054,289.699,1
50396.5,174.038,1
51134.2,74.5748,1
48716.7,176.437,1
50014,229.382,1
50669,186.812,1
4486.3,56.7487,1
44426.9,89.2722,1
52427.8,54.0724,1
50621.3,145.495,1
56019.3,75.0643,1
48469.5,96.7378,1
54755.9,91.411,1
52661.1,107.629,1
25515.3,156.532,1
51694.3,75.7041,1
60844.6,65.6197,1
56496.5,88.0846,1
52818.7,117.168,1
53953.8,92.7051,1
50002,50.6974,1
49315.4,241.066,1
50122.7,618.516,1
49538.4,202.85,1
50587.5,194.607,1
38098.8,63.5781,1
48908.1,267.447,1
51760.6,123.687,1
25225.8,37.9703,1
47641.1,389.362,1
49281.5,179.606,1
51521.7,284.146,1
51798.7,190.078,1
49009.3,102.59,1
48487.5,141.173,1
51846.9,142.239,1
47263.9,130.571,1
48072.9,184.959,1
52167.4,229.049,1
49203.6,402.026,1
55054.6,71.1354,1
52750.8,162.248,1
52177,53.1293,1
63312.6,44.7876,1
30151.9,91.8796,1
50196.8,259.902,1
51379.4,189.407,1
51043.8,78.97,1
51672.7,137.403,1
50942.6,82.1254,1
38323,40.5864,1
51143.3,104.569,1
52308.2,107.565,1
52194,179.368,1
49858.3,89.3202,1
40943.5,55.8734,1
3409.33,78.6035,1
52693.4,100.874,1
47358.6,137.058,1
62378,65.6913,1
7324.35,99.8719,1
49293.9,309.833,1
51209.3,870.397,1
49702.5,174.221,1
52520.1,129.469,1
50563.6,424.966,1
50021.9,209.692,1
56967.8,170.85,1
50143.6,306.487,1
52256.7,195.441,1
57672.7,155.732,1
59828.5,84.8469,1
48629.7,106.521,1
67042.7,73.0432,0
53492.5,81.9313,1
50071.9,490.515,1
52996.9,83.9311,1
48686.2,153.058,1
49017,373.453,1
48918.6,311.683,1
47882.8,109.599,1
46640.3,217.831,1
52790,96.3106,1
49951.1,104.222,1
53810.9,43.8661,1
48351.5,76.1576,1
50217.8,214.451,1
56124,84.9069,1
50912.2,72.7596,1
52532.2,108.503,1
41689.9,62.6873,1
44384.7,306.769,1
50605.2,65.8259,1
48384.7,120.859,1
47914.2,238.23,1
48833.7,33.0965,1
53371.1,200.093,1
54222.1,598.387,1
50180.2,237.462,1
7396.2,69.6956,1
52373.4,134.857,1
49749.2,212.285,1
5120.55,55.3946,1
47873.4,65.6864,1
6426.36,77.6082,1
56673,74.7662,1
53594.2,161.025,1
48658.9,193.687,1
57567,90.9939,1
55450.1,167.389,1
50518.7,133.623,1
50257.3,211.671,1
48698.7,231.105,1
64785.6,81.6581,1
49618.9,82.6562,1
51954.8,113.653,1
51977.7,98.9265,1
56569.3,169.212,1
52081.5,215.949,1
53296,153.203,1
48884.1,92.7746,1
51332.9,179.891,1
45991.9,20.962,1
40459.7,208.303,1
49465.2,474.556,1
47701.8,256.128,1
57629.6,59.6873,1
50479,270.214,1
53466.8,178.763,1
50259.1,105.775,1
80532.4,13.6821,0
50136.3,185.033,1
46173,204.315,1
10672.4,81.1666,1
3351.28,54.4892,1
51010.4,335.623,1
47190.3,67.169,1
25708.6,60.1239,1
4422.5,95.7777,1
54747.8,86.9183,1
69215.8,29.088,1
50878.2,79.7245,1
53891.1,48.412,1
50117.3,261.581,1
39816.8,97.2108,1
49017.1,176.449,1
50176.2,101.678,1
52362.3,148.346,1
49888.9,159.815,1
49722,97.6853,1
52479.9,415.351,1
48536.8,70.6739,1
50232.7,250.221,1
51033.6,162.95,1
52025.9,253.291,1
53136.6,150.461,1
48890.9,18.0605,1
52072.4,66.6253,1
46671.8,201.6,1
5945.07,152.761,1
52094.9,182.83,1
49018.9,311.333,1
51250.9,153.953,1
46173.5,80.7904,1
64199.8,58.1726,1
49451.3,122.958,1
51667.9,299.23,1
51623.3,202.993,1
52757.4,77.0058,1
53214.7,297.991,1
72432.3,48.0904,1
52030.1,101.656,1
5791.35,143.298,1
51072.9,242.149,1
6767.29,112.749,1
56607.1,52.3959,1
52780,119.524,1
51670.6,391.68,1
49808.2,170.931,1
52531.8,92.5528,1
53985.4,73.8331,1
50817.5,18.7835,1
5219.92,107.131,1
53390,75.4712,1
64904.1,48.4914,1
49812.2,143.281,1
53160.6,112.343,1
49082.2,428.563,1
51783,100.265,1
56671.9,87.5281,1
48181.3,122.592,1
6482.55,56.5499,1
52142,92.0288,1
52790,102.314,1
47007.4,163.815,1
54010.2,55.6322,1
52691.1,168.634,1
53980.3,151.106,1
52848.7,111.316,1
58234.2,57.6432,1
42914,36.2844,1
52369.3,175.877,1
55785.2,123.435,1
50886.9,221.069,1
51034.8,181.158,1
55288.7,77.8542,1
47606.1,264.338,1
49622.5,498.397,1
65743.1,33.6866,1
52860.8,137.341,1
51169.2,273.286,1
48360.7,113.687,1
49594.9,119.942,1
46482.6,130.493,1
48735.4,182.642,1
60738.6,66.1028,1
49579.9,127.421,1
50191,180.151,1
10159.5,55.3018,1
49911.2,135.493,1
42191,100.463,1
58217.1,67.1138,1
49304.3,710.962,1
5658.37,52.0183,1
54525.9,107.161,1
47831.1,212.036,1
53566.6,143.715,1
46940.2,101.94,1
52208.3,106.42,1
51229.6,47.1115,1
48843.5,146.002,1
51204.6,143.073,1
56444.6,86.6179,1
50388.7,371.298,1
49821.6,327.373,1
39219.7,41.9615,1
7152.53,68.6565,1
50197.8,232.276,1
50589.1,130.126,1
48547.8,168.97,1
51359.9,219.506,1
53208.1,188.518,0
47462.3,131.052,1
50588.7,162.86,1
44018.9,843.657,1
3985.8,94.0155,1
50351.7,232.072,1
50629.9,472.458,1
59876.5,101.168,1
58528.8,59.7225,1
48645.7,173.28,1
51599.2,130.142,1
52255,292.869,1
47999.3,193.035,1
50646.3,434.233,1
52127.3,196.427,1
50675.4,79.169,1
51373.9,161.378,1
50896.8,170.676,1
52045.5,105.237,1
63626.6,53.9742,1
48914.9,458.922,1
72378.2,27.4804,1
52572.2,134.893,1
48184.8,25.1722,1
51063.5,326.302,1
59669.5,81.5471,1
60434.3,122.439,1
48507.5,38.872,1
50244.4,149.524,1
50894.3,441.453,1
49665.8,310.847,1
48493.1,162.797,1
53876.8,190.616,1
51120.7,115.461,1
48479,129.133,1
35757.7,47.8839,1
51231.4,230.287,1
49394.6,100.867,1
48411.1,250.102,1
51164.6,102.483,1
5695.7,53.3622,1
10650.9,75.2884,1
11712.4,95.0316,1
48800,49.9657,1
48842.4,124.324,1
51819.4,141.485,1
53810.8,89.5403,1
51841,164.5,1
46396.1,108.272,1
51718.7,381.759,1
51453.2,244.621,1
50504.9,137.321,1
49126.7,198.001,1
3680.27,162.082,1
47905.5,128.207,1
54390.8,103.454,1
50859.4,290.816,1
48134.4,147.151,1
49360.4,72.0677,1
48446.1,82.4259,1
51931,670.563,1
3373.25,128.329,1
39881.9,53.344,1
50612,349.723,1
55890.1,201.222,1
50726.7,348.277,1
51699.9,153.867,1
49104.7,192.162,1
48474.9,179.693,1
54150,115.39,1
52562.1,266.96,1
52183.4,138.068,1
3813.37,79.5638,1
54345.6,120.368,1
6664.97,105.431,1
47970.2,57.5501,1
52955.1,231.236,1
3103.32,37.4955,1
49496.4,181.537,1
48341.9,225.284,1
46988.3,64.7301,1
49501.7,247.991,1
46772.7,78.1685,1
62493.6,70.3559,1
47471.4,217.618,1
43058.5,74.3391,1
50125,248.846,1
4188.68,49.352,1
52399.6,82.2503,1
58507.3,100.641,1
45596,212.905,1
50956.3,272.851,1
61197.7,53.9442,1
48025.8,251.048,1
53297,54.8508,1
49982.2,208.765,1
50576.2,59.1082,1
58929.4,67.6182,1
4365.31,103.833,1
55217.9,88.1918,1
53460.9,136.584,1
50595.7,127.643,1
49763.7,207.711,1
47672,163.328,1
49448.8,160.071,1
55428.6,62.7696,1
52481.4,132.993,1
55226.5,51.9671,1
55426,125.892,1
50103.5,221.27,1
51700.7,91.2143,1
49491.1,188.826,1
54149.5,162.354,1
50264.9,177.832,1
53646.5,144.817,1
50422.3,206.566,1
75607.2,14.5154,1
49488.5,199.716,1
51118.1,97.5107,1
51386.8,103.99,1
53498,206.638,1
49166.9,89.8956,1
60716.9,64.938,1
53136.1,363.871,1
47225.1,106.678,1
42846.5,96.8702,1
53035.6,104.96,1
62254.2,44.6253,1
51573.7,64.0357,1
46340.7,90.1006,1
49497.6,105.098,1
51263.7,126.979,1
51699.8,281.134,1
49403.3,142.797,1
49306.9,340.545,1
51706.8,147.971,1
50854,189.966,1
49279,138.642,1
50095.2,171.676,1
51228,178.146,1
49351.8,215.784,1
49630.1,161.573,1
52889.9,169.343,1
49790.7,352.093,1
53983.3,96.7085,1
56937,59.4095,1
47371,146.833,1
51867,195.244,1
53665.3,142.534,1
50047,388.84,1
52419.5,63.5466,1
24879.8,99.417,1
48365.2,143.505,1
50299.6,166.596,1
52712.8,420.301,1
51098.2,427.355,1
51432.2,130.681,1
49394,190.672,1
62794.6,46.2843,1
54715.4,107.668,1
56567.6,159.457,1
60868.4,77.5622,1
56764.4,32.9533,1
47857.2,165.565,1
56608.6,85.661,1
54935.3,131.383,1
51850.2,138.347,1
66191.7,20.2316,1
50279.2,91.2598,1
51018.1,101.035,1
49680.6,79.5515,1
58906.3,34.6362,1
50861,46.0462,1
50560.7,193.134,1
50452.6,250.822,1
45793.8,133.215,1
49668.4,130.635,1
53144.7,74.4097,1
52611.1,157.545,1
49440.1,83.7338,1
56050.9,138.51,1
50657.3,218.897,1
56706.8,78.4693,1
50748.4,79.6034,1
50390.7,264.32,1
47373.5,131.433,1
49431.9,170.09,1
51457.5,115.799,1
54142.6,90.1943,1
53540.4,102.297,1
51679.6,56.1139,1
52227.6,302.652,1
46671.4,157.635,1
49064.8,172.91,1
42725.5,111.999,1
45946.6,130.822,1
49367.5,466.862,1
53594.9,156.487,1
46142.1,78.548,1
56167.9,100.678,1
48640.8,227.024,1
52485,63.639,1
5172.67,86.7861,1
56027,79.8374,1
49977.3,224.796,1
50294.3,361.766,1
5731.14,113.052,1
49745.2,99.1659,1
52181.8,128.53,1
5053.95,184.658,1
45142.8,235.153,1
54291.1,65.8911,1
56478.9,35.3482,1
48119.8,128.142,1
49572.2,311.918,1
48468.2,283.119,1
67137.7,43.8651,1
50674.4,147.407,1
53520.5,97.3399,1
54013.5,101.293,1
51036.8,182.165,1
47076.2,25.7773,1
49029.2,168.519,1
48661.2,290.234,1
50297.7,383.216,1
50354.5,346.116,1
50120.6,143.03,1
51549.2,115.995,1
49980.3,541.072,1
55839.3,119.965,1
63769.7,41.0674,1
52082.3,111.139,1
55279.4,97.133,1
51020,175.211,1
50616.6,253.71,1
1557.17,58.587,1
43932.2,104.013,1
51345.5,115.97,1
4004.71,128.204,1
49690.6,445.409,1
8874.86,69.5487,1
50680.6,179.762,1
53196.3,148.45,1
56374.7,73.884,1
57358.7,77.7536,1
3599.57,48.9054,1
21661.3,48.8475,1
51548.4,160.822,1
51506.8,79.9003,1
38511.7,13.8514,0
68859.6,59.0054,0
49487.4,112.551,1
3921.97,45.1001,1
59049.5,65.7375,1
54111.8,85.8614,1
49882.5,354.268,1
55927.2,62.7804,1
49929.1,235.008,1
73928.6,35.1463,1
56624.9,78.9954,1
48270.6,269.182,1
66217.9,61.1833,1
47697.8,259.216,1
56369.3,81.1885,1
47507.5,151.1,1
50762.3,132.472,1
51896.7,82.3034,1
44967.8,73.6829,1
62989.9,51.7261,1
51174.6,80.5484,1
52274.7,458.028,1
47950,224.261,1
51953.3,185.37,1
53913.4,235.349,1
54487,89.6265,1
50918.7,164.564,1
58116.3,73.051,1
50690.1,171.877,1
5046.53,102.345,1
39593,166.006,1
3675.7,230.63,1
52691.7,56.9322,1
6430.18,63.0365,1
52727.7,28.8299,1
61269.3,101.837,1
47971.2,108.496,1
49246.1,128.804,1
50602.6,125.398,1
54114.8,51.7884,1
50429.3,166.003,1
53425.2,119.272,1
48129.6,196.139,1
45072.5,98.4014,1
57807.3,90.0863,1
48567.6,172.834,1
51096.7,219.861,1
47527.7,117.932,1
54053.6,133.835,1
53577.5,82.1635,1
3699.96,81.2266,1
50165.9,242.669,1
53698.5,119.701,1
4770.01,90.6624,1
56981.1,111.949,1
55354.1,65.3828,1
59944.6,118.835,0
50427.5,85.3814,1
50839.5,144.17,1
6652.62,39.3636,1
56029.9,67.0069,1
47807,101.212,1
50856.3,99.6365,1
49593.3,204.899,1
49203.5,167.994,1
47390.8,156.488,1
59050.8,49.7023,1
46414,53.7674,1
49288.1,91.931,1
53811.6,116.367,1
49050.7,76.5624,1
48740.9,87.6125,1
49429.4,481.562,1
62111.2,31.3218,1
78676.5,19.2317,1
41039.2,137.775,1
